ID,Volume,Action,Priority,Listing / lead,Source,Neighbourhood,Address / locator,Type,Rent text,Approx monthly share,Est drive min,Km straight-line,Parking,Internet / utilities,Availability,Furnishing,Criteria fit,Why add / note,What to verify,Date seen,Last checked,URL,Maps link,Score,Latitude,Longitude,Archived,IsNew
E8,Vol 1 - Core Fits,Worth considering,16,"Roomies: Pond Mills basement suite, attached bath",roomies.ca,Pond Mills,Pond Mills (10 min to White Oaks Mall),"1-bed basement suite, private bath, shared kitchen","$900-$1,000 inclusive",950,9,3.1,Unknown - verify,Included,Verify,Unfurnished,Private basement suite; own bathroom; separate-ish,Private basement suite with its own bathroom in a core area - strong privacy near budget.,"Confirm parking, separate entrance, exact rent and July start.",2026-05-31,2026-05-31,https://www.roomies.ca/rooms/pond-mills-london-on,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Pond%20Mills%20%2810%20min%20to%20White%20Oaks%20Mall%29%2C+London%2C+ON,81,42.958,-81.198,FALSE,TRUE
E13,Vol 2 - Stretch / Flavour,Add / book viewing,17,Zumper: 140 Conway Dr 2-bed condo (July 1 split),zumper.com,White Oaks,140 Conway Dr Unit 49,"2-bed/1-bath condo, 856 sqft, balcony","$1,700 (split ~$850)",850,5,1.5,Verify (condo spot),Verify inclusion,July 1,Unfurnished,2-bed split; private balcony; full kitchen,"Exact July 1 start matches the move window; split 2 ways = ~$850 each, 5 min from OIART.","Confirm parking spot, internet, and roommate-lease rules.",2026-05-31,2026-05-31,https://www.zumper.com/apartments-for-rent/london-on/white-oaks,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=140%20Conway%20Dr%20Unit%2049%2C+London%2C+ON,80,42.929,-81.236,FALSE,TRUE
C3,Vol 1 - Core Fits,Add / book viewing,18,Roomies: Beechbank Cres ensuite basement room,roomies.ca,White Oaks / Southdale,Beechbank Cres,Room with ensuite in basement,$800,800,8,2.7,Unknown,Unknown,Unknown,Furnished,Ensuite/private bath,Excellent location; details thin,Message immediately if still live,2026-05-30,2026-05-30,https://www.roomies.ca/rooms/london-on/private?page=6,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Beechbank+Cres%2C+London%2C+ON,80,42.933,-81.245,FALSE,FALSE
E7,Vol 1 - Core Fits,Add / book viewing,19,"Roomies: Pond Mills 3-bed condo room, all utilities",roomies.ca,Pond Mills,Pond Mills (3-bed condo),Room in modern 3-bed condo,$700 all-inclusive,700,8,2.7,Unknown - verify,All utilities included,Immediate (verify July),Furnished,Private bedroom; modern condo; all-inclusive,"Modern, well-kept condo in a top-scoring area, all utilities in; good Pond Mills room.","Listing notes 'female only' on one room - confirm a male/co-ed room, parking, July.",2026-05-31,2026-05-31,https://www.roomies.ca/rooms/pond-mills-london-on,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Pond%20Mills%20%283-bed%20condo%29%2C+London%2C+ON,80,42.957,-81.196,FALSE,TRUE
B4,Vol 1 - Core Fits,Add / book viewing,20,Kijiji: 700 Exeter Rd townhouse,kijiji.ca,White Oaks,700 Exeter Rd,3-bed townhouse split,"$2,200",2200,4,1,Yes,Unknown,June 1,Unknown,Roommate split,$733 each if split 3; two parking spots/backyard,Very practical split option,2026-05-30,2026-05-30,https://www.kijiji.ca/v-apartments-condos/london/townhouse-for-rent/1736847763,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=700+Exeter+Rd%2C+London%2C+ON,79,42.928,-81.221,FALSE,FALSE
E3,Vol 1 - Core Fits,Add / book viewing,21,Roomies: Ernest Ave unfurnished room in condo,roomies.ca,White Oaks,Ernest Ave (N6E 1Y1),Unfurnished room in condo,$600,600,6,1.7,Unknown - verify,Unknown - verify,Verify,Unfurnished,Private bedroom; condo; unfurnished (matches preference),"Very cheap, unfurnished, in the closest core cluster; one of the lowest White Oaks room prices seen.","Confirm parking, internet, household gender and July availability.",2026-05-31,2026-05-31,https://www.roomies.ca/rooms/white-oaks-london-on,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Ernest%20Ave%20%28N6E%201Y1%29%2C+London%2C+ON,79,42.935,-81.232,FALSE,TRUE
D15,Vol 2 - Stretch / Flavour,Worth considering,22,Realtor.ca: 45 Pond Mills Rd Unit 710,realtor.ca,Pond Mills,45 Pond Mills Rd,2-bed furnished condo,"$1,900",1900,9,3,Likely,Unknown,Current,Furnished,2-bed split,$950 each if split 2; Pond Mills,"Strong roommate split, but furnished",2026-05-30,2026-05-30,https://www.realtor.ca/real-estate/29622091/710-45-pond-mills-road-london-south-south-j,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=45+Pond+Mills+Rd%2C+London%2C+ON,79,42.959,-81.198,FALSE,FALSE
C2,Vol 1 - Core Fits,Add / book viewing,23,Roomies: Harrison's room near White Oaks Mall,roomies.ca,White Oaks / Highland edge,N6C 5A8,Room in apartment,$800 inclusive,800,6,1.6,Unknown,Yes,Unknown,Furnished,Private room; shared apartment,Quiet male owner/roommate; White Oaks Mall area,Needs parking confirmation,2026-05-30,2026-05-30,https://www.roomies.ca/rooms/london-on/single,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=N6C+5A8%2C+London%2C+ON,78,42.94,-81.23,FALSE,FALSE
D12,Vol 2 - Stretch / Flavour,Worth considering,24,Zumper: 5 Frontenac Road,zumper.com,Glen Cairn / Pond Mills,5 Frontenac Rd,Managed 1-2 bed,"$1,399-$1,595",1399,8,2.8,Assigned parking,No,Current,Unfurnished,Private apartment,Very good OIART commute; stretch,Close to target zone,2026-05-30,2026-05-30,https://www.zumper.com/apartments-for-rent/london-on/westminster/cheap,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=5+Frontenac+Rd%2C+London%2C+ON,78,42.959,-81.205,FALSE,FALSE
D17,Vol 1 - Core Fits,Worth considering,25,Rentals.ca: 729 Deveron Crescent,rentals.ca,Pond Mills,729 Deveron Cres,2-bed condo,Price not visible,,8,2.5,Likely,Unknown,Current,Unfurnished,2-bed split,Pond Mills condo; great split possibility,Check price/availability,2026-05-30,2026-05-30,https://rentals.ca/london/729-deveron-crescent-1,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=729+Deveron+Cres%2C+London%2C+ON,78,42.95,-81.19,FALSE,FALSE
E2,Vol 1 - Core Fits,Add / book viewing,26,"Kijiji: Linwood St room, 1GB wifi + laundry",kijiji.ca,South London,Linwood Street,Private room in 5-bed/2-bath house,$650,650,11,4.2,Unknown - verify,1GB/s wifi + laundry included,Mar/Apr (verify July),Unknown,Private bedroom; shared house; gigabit internet,Cheap with gigabit wifi and laundry included; good value if parking confirmed.,Confirm parking and whether a July-start room opens up.,2026-05-31,2026-05-31,https://www.kijiji.ca/b-room-rental-roommate/london/room-for-rent-london/k0c36l1700214,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Linwood%20Street%2C+London%2C+ON,78,42.962,-81.258,FALSE,TRUE
N7,Vol 2 - Stretch / Flavour,Worth considering,27,Zumper: Garden Vista,zumper.com,Southcrest,297-301 Base Line Rd W,Managed studio-2 bed,"$1,094-$1,519",1094,14,5.5,Outdoor parking / verify fee,Unknown,Current,Unfurnished,Private apartment,One of the best managed-building private-unit stretches near the budget.,"Confirm studio availability, parking fee, utilities and lease start.",2026-05-30,2026-05-30,https://www.zumper.com/apartment-buildings/p213708/garden-vista-southcrest-london-on,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=297-301+Base+Line+Rd+W%2C+London%2C+ON,78,42.965,-81.265,FALSE,FALSE
B1,Vol 1 - Core Fits,Add / book viewing,28,"Kijiji: 1.5-bedroom unit, White Oaks",kijiji.ca,White Oaks,White Oaks,Private lower-level / small unit,Price not visible,,6,1.9,Yes,Likely,Unknown,Furnished,Private unit,Private entrance/utilities/parking stated; verify price,Could be a strong private-unit lead if price is sane,2026-05-30,2026-05-30,https://www.kijiji.ca/v-apartments-condos/london/1-5-bedroom-unit/1738137060,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=White+Oaks%2C+London%2C+ON,77,42.93,-81.235,FALSE,FALSE
E5,Vol 1 - Core Fits,Worth considering,29,Roomies: White Oaks male roommate condo (39M owner),roomies.ca,White Oaks,White Oaks Mall area (N6C 5A8),Furnished room in apartment,$800 inclusive,800,6,1.6,Unknown - verify,Included,Verify,Furnished,Private bedroom; male owner; no couples; quiet building,"Explicit quiet male-owner household (strong gender fit) in the White Oaks Mall area, all-inclusive.",Furnished (slight mismatch); confirm parking and July start.,2026-05-31,2026-05-31,https://www.roomies.ca/rooms/london-ontario,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=White%20Oaks%20Mall%20area%20%28N6C%205A8%29%2C+London%2C+ON,77,42.94,-81.23,FALSE,TRUE
C8,Vol 1 - Core Fits,Worth considering,30,Roomies: N6J 2L5 lower room + private office/bath,roomies.ca,South London / Southcrest,N6J 2L5,Unfurnished room with own bathroom,"$1,000 inclusive",1000,13,5,Unknown,Yes,Unknown,Unfurnished,Private lower room + office + bath,Strong privacy under budget; verify parking/area,Good stretch room,2026-05-30,2026-05-30,https://www.roomies.ca/rooms/london-on/private?page=6,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=N6J+2L5%2C+London%2C+ON,77,42.958,-81.265,FALSE,FALSE
A8,Vol 2 - Stretch / Flavour,Worth considering,31,"Kijiji: Private Room, London ON $550",kijiji.ca,Southcrest,Southcrest / Central-south,Private room,$550,550,15,5.7,Yes,Yes,Unknown,Unknown,Private room,Internet + car parking stated; check exact address/commute,Very cheap; needs verification,2026-05-30,2026-05-30,https://www.kijiji.ca/v-room-rental-roommate/london/private-room-for-rent-london-on-550/1736189624,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Southcrest+%2F+Central-south%2C+London%2C+ON,77,42.963,-81.27,FALSE,FALSE
E9,Vol 1 - Core Fits,Worth considering,32,Roomies: New build near White Oaks Mall & 401,roomies.ca,White Oaks,Near White Oaks Mall / Food Basics / 401,Private room in 1-yr-old house,$700-$800,750,5,1.4,Unknown - verify,Unknown - verify,Verify,Unfurnished,Private bedroom; brand-new house; bus to Fanshawe,"Year-old house steps from the mall and 401 - new construction, very close to OIART.","Confirm parking, internet, household and July start.",2026-05-31,2026-05-31,https://www.roomies.ca/rooms/pond-mills-london-on,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Near%20White%20Oaks%20Mall%20/%20Food%20Basics%20/%20401%2C+London%2C+ON,76,42.932,-81.238,FALSE,TRUE
E4,Vol 1 - Core Fits,Worth considering,33,"Roomies: White Oaks condo room (quiet, no couples)",roomies.ca,White Oaks,White Oaks (N6E 1Y1),Unfurnished room in condo,$650,650,6,1.8,Unknown - verify,Unknown - verify,Verify,Unfurnished,Private bedroom; quiet condo; one person only,"Quiet, single-occupancy, unfurnished room right in the core area at a low price.","First & last + credit check required; confirm parking, internet and July start.",2026-05-31,2026-05-31,https://www.roomies.ca/rooms/white-oaks-london-on,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=White%20Oaks%20%28N6E%201Y1%29%2C+London%2C+ON,76,42.933,-81.236,FALSE,TRUE
D16,Vol 1 - Core Fits,Worth considering,34,Zumper: 321 Pond Mills Rd Apartments,zumper.com,Pond Mills / Glen Cairn,321 Pond Mills Rd,1-2 bed apartment,Price not listed,,9,3.4,Unknown,Unknown,Current,Unfurnished,Private apartment,Excellent target area; check pricing directly,Worth checking for July,2026-05-30,2026-05-30,https://www.zumper.com/apartment-buildings/p477574/pond-mills-321-pond-mills-rd-glen-cairn-london-on,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=321+Pond+Mills+Rd%2C+London%2C+ON,76,42.963,-81.198,FALSE,FALSE
D4,Vol 2 - Stretch / Flavour,Worth considering,35,Rentals.ca: Highland Park Apartments I/II,rentals.ca,Highland,450-460 Highland Ave,Managed 1-2 bed apartment,"$1,379+",1379,10,3.7,Parking fee extra,No,Current,Unfurnished,Private apartment,Affordable stretch one-bedroom in target area,One of the better solo private-unit stretches,2026-05-30,2026-05-30,https://rentals.ca/london/450-460-highland-avenue,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=450-460+Highland+Ave%2C+London%2C+ON,76,42.957,-81.245,FALSE,FALSE
D11,Vol 2 - Stretch / Flavour,Worth considering,36,Zumper: Highland Ridge,zumper.com,Highland,9 Commissioners Rd E,Managed 1-2 bed,"$1,350-$1,500",1350,11,4.1,Garage/assigned parking,No,Current,Unfurnished,Private apartment,"Close, affordable stretch, parking listed",Good compromise,2026-05-30,2026-05-30,https://www.zumper.com/apartments-for-rent/london-on/westminster/cheap,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=9+Commissioners+Rd+E%2C+London%2C+ON,76,42.963,-81.244,FALSE,FALSE
N10,Vol 2 - Stretch / Flavour,Worth considering,37,Zumper: South Grand Apartments 21/25 Grand Ave,zumper.com,Old South / South London,21/25 Grand Ave,Managed 2-bed apartment,"$1,499-$1,519",1499,13,5,Verify,Unknown,Current listings shown,Unfurnished,2-bed split option,Old South managed 2-bed could split to ~$750 each before utilities/parking.,"Confirm parking, utilities, and roommate-lease rules.",2026-05-30,2026-05-30,https://www.zumper.com/apartment-buildings/p470813/south-grand-apartments-south-london-london-on,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=21%2F25+Grand+Ave%2C+London%2C+ON,76,42.967,-81.254,FALSE,FALSE
D10,Vol 1 - Core Fits,Worth considering,38,PadMapper: 59 Ridout,padmapper.com,Old South / South London,59 Ridout St S,Studio-1 bed,"$1,175-$1,275",1175,14,5.5,Unknown,Unknown,Current,Unfurnished,Private apartment,Potentially one of the cheapest private Old South options,Verify parking,2026-05-30,2026-05-30,https://www.padmapper.com/apartments/london-on/south-london,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=59+Ridout+St+S%2C+London%2C+ON,76,42.969,-81.26,FALSE,FALSE
E14,Vol 2 - Stretch / Flavour,Worth considering,39,"Zumper: Millbank Dr legal 1-BR basement, internet+parking",zumper.com,White Oaks,Millbank Drive,Legal 1-bed basement suite,"$1,399 incl. internet+parking",1399,6,1.9,Included (driveway),Gigabit internet included,May 1 (verify July),Unfurnished,Full private unit; internet + parking included,"Hits every must-have (own unit, internet, parking) but over solo budget - the in-budget benchmark for a private suite.",Ask about a July start and whether rent flexes; otherwise a split isn't possible (1-BR).,2026-05-31,2026-05-31,https://www.zumper.com/apartments-for-rent/london-on/white-oaks,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Millbank%20Drive%2C+London%2C+ON,75,42.931,-81.228,FALSE,TRUE
E10,Vol 1 - Core Fits,Worth considering,40,Apartments.com: Off-campus 1-2 bed (school-commute filter),apartments.com,White Oaks / Westminster,South London managed buildings,Managed 1-2 bed (split-friendly),"$1,400-$1,750 (split ~$800)",800,7,2.5,Likely / verify fee,Varies by building,Current,Unfurnished,Private/split apartment; commute-time filter available,Apartments.com lets you filter by commute time to a school and by utilities-included - good for split math.,"Pick a specific building; confirm parking fee, internet and July availability.",2026-05-31,2026-05-31,https://www.apartments.com/london-on/under-1500/,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=South%20London%20managed%20buildings%2C+London%2C+ON,75,42.935,-81.225,FALSE,TRUE
D3,Vol 2 - Stretch / Flavour,Worth considering,41,Zumper/Rentals.ca: Highland Village,zumper.com,Highland,501 Wilkins St / Sandringham Cres,Managed 1-3 bed apartment,"$1,475-$2,240",1475,8,2.9,Garage parking,No,Jun/Aug availability shown,Unfurnished,Private apartment,"Close, nicer, managed; stretch",Good one-bed stretch or 2-3 bed split,2026-05-30,2026-05-30,https://www.zumper.com/apartments-for-rent/london-on/white-oaks,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=501+Wilkins+St+%2F+Sandringham+Cres%2C+London%2C+ON,75,42.952,-81.238,FALSE,FALSE
D5,Vol 2 - Stretch / Flavour,Worth considering,42,Rentals.ca: South Wortley Residences,rentals.ca,Highland / South Wortley,621 Base Line Rd E,Managed 1-2 bed apartment,"$1,472-$1,697",1472,9,3.1,Assigned parking,No,Current,Unfurnished,Private apartment,Nice area and close; over budget,Good stretch if he wants nicer,2026-05-30,2026-05-30,https://rentals.ca/london/621-baseline-road-east,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=621+Base+Line+Rd+E%2C+London%2C+ON,75,42.953,-81.24,FALSE,FALSE
E6,Vol 1 - Core Fits,Add / book viewing,43,"Kijiji: 3+1 bdrm bungalow, quiet neighbourhood",kijiji.ca,South London,Quiet south-London street (verify),3+1 bed bungalow (main+basement) split,"$2,200-$2,400 split",700,10,3.8,Yes,Unknown - verify,Verify,Unfurnished,Roommate split; whole bungalow main+basement,Whole bungalow split 3-4 ways lands near $600-750pp; good for a roommate group.,"Confirm exact address, rent, utilities/internet and July start.",2026-05-31,2026-05-31,https://www.kijiji.ca/b-room-rental-roommate/london/room-for-rent-london-ontario/k0c36l1700214,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Quiet%20south-London%20street%20%28verify%29%2C+London%2C+ON,75,42.955,-81.235,FALSE,TRUE
D9,Vol 2 - Stretch / Flavour,Worth considering,44,PadMapper: Grandview Terrace,padmapper.com,Old South,71 Grand Ave,Managed 1-bed,"$1,299",1299,13,5.1,Likely,Unknown,Current,Unfurnished,Private apartment,Good single-unit stretch in lifestyle area,Slightly above target,2026-05-30,2026-05-30,https://www.padmapper.com/apartments/london-on/south-london,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=71+Grand+Ave%2C+London%2C+ON,75,42.966,-81.257,FALSE,FALSE
